text,label,label_text,source,language
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,bearish,twitter_financial_news,en
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,bearish,twitter_financial_news,en
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,bearish,twitter_financial_news,en
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,bearish,twitter_financial_news,en
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,bearish,twitter_financial_news,en
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,bearish,twitter_financial_news,en
$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,bearish,twitter_financial_news,en
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,bearish,twitter_financial_news,en
$GTT: Cowen cuts to Market Perform,0,bearish,twitter_financial_news,en
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,bearish,twitter_financial_news,en
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,bearish,twitter_financial_news,en
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,bearish,twitter_financial_news,en
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,bearish,twitter_financial_news,en
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,bearish,twitter_financial_news,en
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,bearish,twitter_financial_news,en
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,bearish,twitter_financial_news,en
$MDCO: Oppenheimer cuts to Perform,0,bearish,twitter_financial_news,en
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,bearish,twitter_financial_news,en
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,bearish,twitter_financial_news,en
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,bearish,twitter_financial_news,en
$NCBS: Hovde Group cuts to Market Perform,0,bearish,twitter_financial_news,en
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,bearish,twitter_financial_news,en
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,bearish,twitter_financial_news,en
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,bearish,twitter_financial_news,en
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,bearish,twitter_financial_news,en
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,bearish,twitter_financial_news,en
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,bearish,twitter_financial_news,en
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,bearish,twitter_financial_news,en
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,bearish,twitter_financial_news,en
2U downgraded to sector weight from overweight at KeyBanc Capital,0,bearish,twitter_financial_news,en
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,bearish,twitter_financial_news,en
AMC Networks price target cut to $35 from $39 at Imperial Capital,0,bearish,twitter_financial_news,en
American Software downgraded to neutral from buy at B. Riley FBR,0,bearish,twitter_financial_news,en
Analysts question Silicon Motion's margin outlook,0,bearish,twitter_financial_news,en
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,bearish,twitter_financial_news,en
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,bearish,twitter_financial_news,en
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,bearish,twitter_financial_news,en
AT&T shares sink after MoffettNathanson downgrade,0,bearish,twitter_financial_news,en
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,bearish,twitter_financial_news,en
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,bearish,twitter_financial_news,en
Autodesk downgraded to underweight from neutral at JPMorgan,0,bearish,twitter_financial_news,en
BAML warns of profit pressure for Hormel,0,bearish,twitter_financial_news,en
Barclays cools on Molson Coors,0,bearish,twitter_financial_news,en
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,bearish,twitter_financial_news,en
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,bearish,twitter_financial_news,en
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,bearish,twitter_financial_news,en
