text,label,label_text,source,language
BYND - JPMorgan reels in expectations on Beyond Meat,0,bearish,twitter_financial_news,en
CCL RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean,0,bearish,twitter_financial_news,en
"CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook",0,bearish,twitter_financial_news,en
ESS BTIG Research cuts to Neutral,0,bearish,twitter_financial_news,en
FNKO - Funko slides after Piper Jaffray PT cut,0,bearish,twitter_financial_news,en
FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank,0,bearish,twitter_financial_news,en
GM - GM loses a bull,0,bearish,twitter_financial_news,en
GM Deutsche Bank cuts to Hold,0,bearish,twitter_financial_news,en
GTT Cowen cuts to Market Perform,0,bearish,twitter_financial_news,en
HNHAF HNHPD AAPL - Trendforce cuts iPhone estimate after Foxconn delay,0,bearish,twitter_financial_news,en
HOG - Moody s warns on Harley-Davidson,0,bearish,twitter_financial_news,en
"HXL - Citing aero ties, Wells slashes PT on Hexcel",0,bearish,twitter_financial_news,en
I - Intelsat cut to Market Perform at Raymond James,0,bearish,twitter_financial_news,en
KRG Compass Point cuts to Sell,0,bearish,twitter_financial_news,en
LK - Muddy Waters goes short Luckin Coffee,0,bearish,twitter_financial_news,en
MANT - ManTech downgraded ahead of difficult comps,0,bearish,twitter_financial_news,en
MDCO Oppenheimer cuts to Perform,0,bearish,twitter_financial_news,en
MPLX MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review,0,bearish,twitter_financial_news,en
MSGN - Imperial downgrades MSG Networks amid sports-free airwaves,0,bearish,twitter_financial_news,en
MTLS - Piper hits the Materialise sidelines,0,bearish,twitter_financial_news,en
NCBS Hovde Group cuts to Market Perform,0,bearish,twitter_financial_news,en
NFLX - New Netflix bear steps out,0,bearish,twitter_financial_news,en
SHOP - Shopify loses a bull,0,bearish,twitter_financial_news,en
STAY - Nomura Instinet loses confidence in Extended Stay America,0,bearish,twitter_financial_news,en
TWLO - Twilio gets Street-low target on virus risk,0,bearish,twitter_financial_news,en
VCLT SPLB IGLB - Guggenheim s Minerd sees more gloom ahead in stocks,0,bearish,twitter_financial_news,en
VIAC VIACA FOX - MoffettNathanson expects NFL TV costs to skyrocket,0,bearish,twitter_financial_news,en
VIAC Barrington Research cuts to Mkt Perform,0,bearish,twitter_financial_news,en
XLNX - Mizuho cuts XLNX target on near-term headwinds,0,bearish,twitter_financial_news,en
2U downgraded to sector weight from overweight at KeyBanc Capital,0,bearish,twitter_financial_news,en
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook,0,bearish,twitter_financial_news,en
AMC Networks price target cut to 35 from 39 at Imperial Capital,0,bearish,twitter_financial_news,en
American Software downgraded to neutral from buy at B. Riley FBR,0,bearish,twitter_financial_news,en
Analysts question Silicon Motion s margin outlook,0,bearish,twitter_financial_news,en
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,bearish,twitter_financial_news,en
Arch Coal stock price target cut to 97 from 100 at B. Riley FBR,0,bearish,twitter_financial_news,en
AT T downgraded by MoffettNathanson to sell on concern wireless can t carry the whole company,0,bearish,twitter_financial_news,en
AT T shares sink after MoffettNathanson downgrade,0,bearish,twitter_financial_news,en
"AT T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,bearish,twitter_financial_news,en
Aurora Cannabis stock price target cut to C 1.00 from C 1.75 at Stifel Nicolaus,0,bearish,twitter_financial_news,en
Autodesk downgraded to underweight from neutral at JPMorgan,0,bearish,twitter_financial_news,en
BAML warns of profit pressure for Hormel,0,bearish,twitter_financial_news,en
Barclays cools on Molson Coors,0,bearish,twitter_financial_news,en
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,bearish,twitter_financial_news,en
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,bearish,twitter_financial_news,en
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,bearish,twitter_financial_news,en
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,bearish,twitter_financial_news,en
Bluebird bio downgraded to in line from outperform at Evercore ISI,0,bearish,twitter_financial_news,en
Bluebird bio stock price target cut to 86 from 172 at Evercore ISI,0,bearish,twitter_financial_news,en
Canada Goose downgraded to buy from strong buy at CFRA,0,bearish,twitter_financial_news,en
Canada Goose stock price target cut to 50 from 65 at CFRA,0,bearish,twitter_financial_news,en
Children s Place downgraded as e-commerce puts margins at risk,0,bearish,twitter_financial_news,en
Children s Place price target cut to 80 from 105 at Monness Crespi Hardt,0,bearish,twitter_financial_news,en
Cinedigm Corp. Analysts Are Cutting Their Estimates Here s What You Need To Know,0,bearish,twitter_financial_news,en
Clovis Oncology stock price target cut to 8 from 12 at Evercore ISI,0,bearish,twitter_financial_news,en
Cumberland Pharmaceuticals stock price target cut to 9.00 from 12.25 at B. Riley FBR,0,bearish,twitter_financial_news,en
"Dell, HPE targets trimmed on compute headwinds",0,bearish,twitter_financial_news,en
Dish may not be key winner amid Intelsat woes - analyst,0,bearish,twitter_financial_news,en
Disney downgraded as analyst says parks attendance could take 2 years to normalize,0,bearish,twitter_financial_news,en
Downgrades 11 25 AEO COLM DGII EQT ESS EVRG GTT KRG MANT MDCO NFLX OMP PEG PRU SBT SITC TAP VIPS,0,bearish,twitter_financial_news,en
Downgrades 4 7 MLND MSGN MTLS O OC OVV PEB PK PLYA QEP RHP RPAI SAIA SDC SHOP SKY SLG SM TWLO,0,bearish,twitter_financial_news,en
Dropbox on watch after stinging Spruce Point report,0,bearish,twitter_financial_news,en
"Earnings Update electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0,bearish,twitter_financial_news,en
Evercore downgrades bluebird bio and Clovis in premarket analyst action,0,bearish,twitter_financial_news,en
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites unintended consequences of CARES Act",0,bearish,twitter_financial_news,en
Forescout downgraded to neutral from buy at Monness Crespi Hardt,0,bearish,twitter_financial_news,en
FormFactor cut on unsustainable revenue outlook,0,bearish,twitter_financial_news,en
Funko downgraded to hold from buy at Stifel Nicolaus,0,bearish,twitter_financial_news,en
Funko stock price target cut to 10 from 25 at Stifel Nicolaus,0,bearish,twitter_financial_news,en
GM stock price target cut to 30 from 32 at Deutsche Bank,0,bearish,twitter_financial_news,en
Grubhub gains a bear on margin view,0,bearish,twitter_financial_news,en
H P downgraded at Argus as drilling industry weakness seen persisting,0,bearish,twitter_financial_news,en
Hanesbrands stock price target cut to 13 vs. 16 at BofA Merrill Lynch,0,bearish,twitter_financial_news,en
Helmerich Payne started at sell with 34 stock price target at Deutsche Bank,0,bearish,twitter_financial_news,en
Hexo stock price target cut to C 5 from C 6 at MKM Partners,0,bearish,twitter_financial_news,en
Home Depot stock price target cut to 237 from 240 at Instinet,0,bearish,twitter_financial_news,en
Intelsat downgraded to underweight from neutral at J.P. Morgan,0,bearish,twitter_financial_news,en
Intelsat lower after Morgan Stanley target cut,0,bearish,twitter_financial_news,en
Jefferies warns on L Brands,0,bearish,twitter_financial_news,en
Kohl s stock price target cut to 48 from 52 at Deutsche Bank,0,bearish,twitter_financial_news,en
Kohl s stock price target cut to 50 from 53 at Wedbush,0,bearish,twitter_financial_news,en
L Brands stock price target cut to 16 from 20 at Wedbush,0,bearish,twitter_financial_news,en
Lovesac stock price target cut to 28 vs. 33 at Canaccord,0,bearish,twitter_financial_news,en
